const,TOT_POP,White-alone pop,Black-alone pop,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,POVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,county_pop2018_18 and older,Urban_rural_code,Age_0_19,Age_20_39,Age_40_59,Age_60+,Other_races,Indice_Profesionales_Disponibles,Indice_Capacidad_Medica,y
1.0,179146,171408,2603,906,1199,9.8,8.5,1.3,0.2,3.6,3.8,6282,38916,36879,41020,11474,7.5,6.7,76475,92384,4111,4.3,76475,136.2,92.55041378,34.26771406,2.973137982,121.1630355,82.84940171,349.144482,12,139159,2,43978,40107,50516,44545,5135,122.35000000000001,694.9481850320001,135267
1.0,9911,6495,3259,-206,363,8.0,10.0,-2.0,-0.2,-18.5,-18.7,1324,2422,2451,1051,1710,24.0,21.9,42588,3397,196,5.5,42588,95.2,6.92253083,0.355086672,0.328538136,3.912590531,3.640468035,11.22007514,0,8071,5,2028,2160,2600,3123,157,84.5,26.379289344,10285
1.0,21940,13728,7820,-272,116,11.8,11.4,0.5,0.1,-12.9,-12.7,3054,6221,3839,2350,4428,27.7,26.7,46603,9463,536,5.4,46603,97.0,11.1301298,3.611171555,0.743891924,11.80339907,8.437052707,35.27836827,0,17147,3,5260,5013,5502,6165,392,111.48333333333333,71.004013326,22318
1.0,3641,3520,16,-36,51,13.9,9.0,4.9,0.3,-15.0,-14.8,251,1153,612,442,439,19.6,19.2,46014,1850,60,3.1,46014,84.6,2.030750751,0.395214881,0.072505587,2.264908139,1.62602694,6.457157422,0,2774,6,950,729,864,1098,105,114.71666666666665,12.846563719999999,3269
1.0,919719,730860,128502,925,27667,10.6,10.7,-0.1,3.0,-1.8,1.1,55426,178600,193051,216636,122204,19.2,17.8,56375,423872,19574,4.4,56375,83.3,593.5140858,418.5330874,7.812492129,975.14962,304.9695723,2301.767259,262,733627,1,210409,247019,232280,230011,60357,150.75,4863.746116629,744916
1.0,67420,62868,1925,917,541,10.3,10.1,0.2,0.2,13.3,13.5,5727,14760,15637,9461,7911,16.5,14.6,55807,32022,1134,3.4,55807,95.2,30.85964841,21.32295956,0.929314438,31.90432602,21.86132103,81.95912439,0,51987,3,16989,15963,18292,16176,2627,99.28333333333335,188.83669384799998,53080
1.0,192876,165092,12664,2848,6274,14.9,7.1,7.8,8.8,-1.7,7.1,9551,33305,40496,39068,18035,9.8,8.4,60033,108017,2891,2.6,60033,105.2,103.4082166,88.32329708,12.46145528,74.11286562,118.2745142,209.4398975,54,143825,4,53720,56937,45829,36390,15120,109.14999999999999,660.02024628,130714
1.0,110356,88803,13983,2130,3223,12.9,8.8,4.2,1.2,14.2,15.4,6726,21481,26300,16317,14254,17.7,16.1,52278,47158,1991,4.1,52278,104.2,72.46091645,24.3512146,2.593182082,48.77652011,46.92424719,159.4436526,20,83201,4,29822,29894,28690,21950,7570,101.93333333333332,374.549733032,106938
1.0,103066,96847,2144,695,3543,10.0,8.9,1.1,1.5,4.2,5.7,5889,26061,23083,16120,9513,11.9,9.6,59428,56139,1519,2.6,59428,97.8,53.91245204,32.62049055,2.357894154,54.10746585,58.078656,163.0492672,15,81036,4,24552,24957,27129,26428,4075,116.53333333333332,379.126225794,78625
1.0,78374,69948,5949,937,792,9.3,12.1,-2.8,2.0,12.8,14.8,8886,16512,16300,13612,11159,20.5,19.8,50529,33741,1159,3.3,50529,96.3,32.69612541,16.17078527,1.063664617,32.94277228,36.08751984,99.46034944,12,62759,5,17093,17082,19725,24474,2477,100.01666666666667,230.421216857,74896
1.0,31192,13965,16581,-145,2322,11.1,13.0,-1.9,13.2,-16.1,-2.8,4843,7757,5838,4003,8478,40.4,40.1,33392,10506,696,6.2,33392,74.6,21.78665943,1.117532387,1.033978564,12.31374471,11.45731802,35.31193459,15,24933,5,6863,8019,8071,8239,646,84.5,98.021167701,35883
